"line_size" "n" "get_order_1" "get_order_2"
8192 50000 7.04 2.822
8192 100000 15.809 5.756
8192 200000 33.612 11.804
8192 500000 95.607 31.787
8192 800000 172.641 48.947
8192 1000000 235.636 123.952
8192 200 0.007 0.006
8192 500 0.07 0.016
8192 1000 0.047 0.034
8192 5000 0.369 0.203
8192 10000 0.945 0.44
8192 50000 6.955 2.499
8192 100000 14.541 5.323
8192 200000 32.753 10.964
8192 500000 100.241 30.007
8192 800000 171.622 49.479
8192 1000000 236.543 63.48
